form,sound,meaning,type,etymology
湘,xiang1,"abbr. for Hunan 湖南 province in south central China; abbr. for Xiangjiang river in Hunan province",pictophonetic,"water"
湛,zhan4,"surname Zhan",ideographic,"A deep 甚 lake 氵; 甚 also provides the pronunciation"
湛,zhan4,"deep; clear (water)",ideographic,"A deep 甚 lake 氵; 甚 also provides the pronunciation"
浈,zhen1,"river in Guangdong province",pictophonetic,"water"
湟,huang2,"name of a river",pictophonetic,"water"
湣,min3,"(ancient character used in posthumous titles of monarchs); old variant of 憫|悯[min3]",pictophonetic,"water"
涌,yong3,"to bubble up; to rush forth",pictophonetic,"water"
湫,jiao3,"marsh",pictophonetic,"water"
湮,yan1,"(literary) to sink into oblivion; (literary) to silt up; Taiwan pr. [yin1]",ideographic,"A dammed 垔 stream 氵; 垔 also provides the pronunciation"
湮,yin1,"variant of 洇[yin1]",ideographic,"A dammed 垔 stream 氵; 垔 also provides the pronunciation"
汤,tang1,"surname Tang",pictophonetic,"water"
汤,shang1,"rushing current",pictophonetic,"water"
汤,tang1,"soup; hot or boiling water; decoction of medicinal herbs; water in which sth has been boiled",pictophonetic,"water"
湴,ban4,"mud; slush; ooze",pictophonetic,"water"
湴,pan2,"to wade through water or mud",pictophonetic,"water"
淳,chun2,"old variant of 淳[chun2]",pictophonetic,"water"
涅,nie4,"variant of 涅[nie4]",pictophonetic,"water"
沩,gui1,"name of a river in Shanxi",pictophonetic,"water"
溉,gai4,"to irrigate",pictophonetic,"water"
溏,tang2,"half congealed; pond",pictophonetic,"water"
源,yuan2,"root; source; origin",pictophonetic,"water"
准,zhun3,"accurate; standard; definitely; certainly; about to become (bride, son-in-law etc); quasi-; para-",pictophonetic,"water in a spirit level"
溘,ke4,"suddenly",pictophonetic,"water"
溜,liu1,"to slip away; to escape in stealth; to skate",pictophonetic,"water"
溜,liu4,"used in 冰溜[bing1 liu4]",pictophonetic,"water"
沟,gou1,"ditch; gutter; groove; gully; ravine; CL:道[dao4]",pictophonetic,"water"
溟,ming2,"to drizzle; sea",ideographic,"A gloomy 冥 rainy 氵 day"
溢,yi4,"to overflow; (literary) excessive; old variant of 鎰|镒[yi4]",pictophonetic,"water"
溥,pu3,"surname Pu",pictophonetic,"water"
溥,pu3,"extensive; pervading",pictophonetic,"water"
溦,wei1,"drizzle; fine rain",pictophonetic,"water"
溧,li4,"name of a river",pictophonetic,"water"
溪,xi1,"creek; rivulet",pictophonetic,"water"
温,wen1,"surname Wen",pictophonetic,"water"
温,wen1,"warm; lukewarm; to warm up; (bound form) temperature; (bound form) mild; soft; tender; to review (a lesson etc); (TCM) fever; epidemic; pestilence (old variant of 瘟[wen1])",pictophonetic,"water"
浉,shi1,"Shi, name of river in Xinyang 信陽|信阳, Henan",pictophonetic,"water"
溯,su4,"to go upstream; to trace the source",ideographic,"To seek the source 朔 of a river 氵"
溱,zhen1,"name of a river",pictophonetic,"water"
溲,sou1,"to urinate",pictophonetic,"water"
溴,xiu4,"bromine (chemistry)",ideographic,"A noxious 臭 liquid 氵; 臭 also provides the pronunciation"
溶,rong2,"to dissolve; soluble",pictophonetic,"water"
溷,hun4,"privy; animal pen; muddy; disordered; to disturb",ideographic,"Water 氵 flowing through a pig-sty 圂; 圂 also provides the pronunciation"
溺,ni4,"to drown; to indulge; addicted to; to spoil (a child)",pictophonetic,"water"
溺,niao4,"variant of 尿[niao4]",pictophonetic,"water"
溻,ta1,"(of clothes) to be soaked with sweat",pictophonetic,"water"
湿,shi1,"variant of 濕|湿[shi1]",pictophonetic,"water"
溽,ru4,"damp; muggy",pictophonetic,"water"
滁,chu2,"name of a river in Anhui",pictophonetic,"water"
滂,pang1,"rushing (water)",pictophonetic,"water"
沧,cang1,"blue-green or azure (of water); vast (of water); cold",pictophonetic,"water"
灭,mie4,"to extinguish or put out; to go out (of a fire etc); to exterminate or wipe out; to drown",ideographic,"To cover 一 a flame 火"
滇,dian1,"abbr. for Yunnan Province 雲南|云南[Yun2 nan2] in southwest China",pictophonetic,"water"
滊,xi4,"name of a river",pictophonetic,"water"
滊,xie1,"saline pond",pictophonetic,"water"
滋,zi1,"to grow; to nourish; to increase; to cause; juice; taste; (dialect) to spout; to spurt",pictophonetic,"water"
涤,di2,"to wash; to cleanse",pictophonetic,"water"
荥,xing2,"place name",pictophonetic,"water"
滏,fu3,"name of a river in Hebei",pictophonetic,"water"
滑,hua2,"surname Hua",pictophonetic,"water"
滑,hua2,"to slip; to slide; slippery; smooth; sly; slippery; not to be trusted",pictophonetic,"water"
滓,zi3,"dregs; sediment",pictophonetic,"water"
滔,tao1,"(bound form) to inundate; deluge; torrent",pictophonetic,"water"
滕,teng2,"vassal state of Zhou in Shandong; Teng County in Shandong; surname Teng",,
汇,hui4,"variant of 匯|汇[hui4]",ideographic,"Water 氵 collected in a container 匚"
淫,yin2,"variant of 淫[yin2]",,
沪,hu4,"short name for Shanghai",pictophonetic,"water"
滞,zhi4,"sluggish",pictophonetic,"water"
渗,shen4,"to seep; to ooze; to horrify",pictophonetic,"water"
滴,di1,"a drop; to drip",pictophonetic,"water"
卤,lu3,"to stew in soy sauce and spices",pictographic,"A container used to brine pickles"
浒,hu3,"bank of a river",pictophonetic,"water"
滹,hu1,"surname Hu; name of a river",pictophonetic,"water"
浐,chan3,"name of a river in Shaanxi province; see 滻河|浐河[Chan3 He2]",pictophonetic,"water"
滚,gun3,"to boil; to roll; to take a hike; Get lost!",pictophonetic,"water"
满,man3,"Manchu ethnic group",pictophonetic,"water"
满,man3,"to fill; full; filled; packed; fully; completely; quite; to reach the limit; to satisfy; satisfied; contented",pictophonetic,"water"
渔,yu2,"fisherman; to fish",ideographic,"To fish 鱼 in a river氵; 鱼 also provides the pronunciation"
漂,piao1,"to float; to drift",pictophonetic,"water"
漂,piao3,"to bleach",pictophonetic,"water"
漂,piao4,"used in 漂亮[piao4liang5]",pictophonetic,"water"
漆,qi1,"paint; lacquer; CL:道[dao4]; to paint (furniture, walls etc)",ideographic,"The sap 氵 of the varnish tree 桼; 桼 also provides the pronunciation"
漉,lu4,"strain liquids",pictophonetic,"water"
漏,lou4,"to leak; to divulge; to leave out by mistake; waterclock or hourglass (old)",ideographic,"Water 氵 falling like raindrops 雨; 屚 provides the pronunciation"
漓,li2,"pattering (of rain); seep through",pictophonetic,"water"
演,yan3,"to perform (a play etc); to stage (a show); (bound form) to develop; to play out; to carry out (a task)",pictophonetic,"water"
漕,cao2,"to transport (esp. grain) by water; (literary) watercourse; canal",pictophonetic,"water"
沤,ou1,"bubble; froth",pictophonetic,"water"
沤,ou4,"to steep; to macerate",pictophonetic,"water"
漠,mo4,"desert; unconcerned",pictophonetic,"water"
汉,han4,"Han ethnic group; Chinese (language); the Han dynasty (206 BC-220 AD)",ideographic,"Simplified form of 漢; the Han 𦰩 river 氵"
汉,han4,"man",ideographic,"Simplified form of 漢; the Han 𦰩 river 氵"
涟,lian2,"ripple; tearful",pictophonetic,"water"
漤,lan3,"to soak (fruits) in hot water or limewater to remove astringent taste; to marinate in salt etc; to pickle",pictophonetic,"water"
漩,xuan2,"whirlpool; eddy; also pr. [xuan4]",ideographic,"Swirling 旋 water 氵; 旋 also provides the pronunciation"
漪,yi1,"ripple",pictophonetic,"water"
漫,man4,"free; unrestrained; to inundate",pictophonetic,"water"
渍,zi4,"to soak; to be stained; stain; floodwater",pictophonetic,"water"
漭,mang3,"vast; expansive (of water)",pictophonetic,"water"
漯,ta4,"name of a river",pictophonetic,"water"
漱,shu4,"to rinse one's mouth with water; to gargle",ideographic,"To gargle 欶 water 氵; 欶 also provides the pronunciation"
涨,zhang3,"to rise (of prices, rivers)",pictophonetic,"water"
涨,zhang4,"to swell; to distend",pictophonetic,"water"
漳,zhang1,"Zhang river in Fujian",pictophonetic,"water"
溆,xu4,"name of a river",pictophonetic,"water"
漶,huan4,"(of writing, pictures etc) indistinct due to deterioration (water damage etc); blurry; eroded",pictophonetic,"water"
渐,jian1,"to imbue",pictophonetic,"water"
渐,jian4,"gradual; gradually",pictophonetic,"water"
漼,cui3,"having the appearance of depth",ideographic,"A deep 崔 pool 氵; 崔 also provides the pronunciation"
漾,yang4,"to overflow; to ripple; used in place names; see 漾濞[Yang4 bi4]",pictophonetic,"water"
浆,jiang1,"thick liquid; to starch",pictophonetic,"water"
浆,jiang4,"variant of 糨[jiang4]",pictophonetic,"water"
颍,ying3,"surname Ying; river in Henan and Anhui",pictophonetic,"water"
颍,ying3,"grain husk; tip of sth short and slender",pictophonetic,"water"
漱,shu4,"variant of 漱[shu4]",ideographic,"To gargle 欶 water 氵; 欶 also provides the pronunciation"
泼,po1,"to splash; to spill; rough and coarse; brutish",ideographic,"To send forth 发 water 氵"
洁,jie2,"clean",pictophonetic,"water"
潘,pan1,"surname Pan; Pan, faun in Greek mythology, son of Hermes",pictophonetic,"water"
潜,qian2,"hidden; secret; latent; to hide; to conceal; to submerge; to dive",pictophonetic,"water"
潞,lu4,"name of a river; surname Lu",pictophonetic,"water"
潟,xi4,"saline land; salt marsh",pictophonetic,"water"
潢,huang2,"dye paper; lake; pond; mount scroll",pictophonetic,"water"
润,run4,"moist; glossy; sleek; to moisten; to lubricate; to embellish; to enhance; profit; remuneration; (neologism c. 2021) (slang) (loanword from ""run"") to emigrate (in order to flee adverse conditions)",pictophonetic,"water"
潦,lao3,"flooded; heavy rain",pictophonetic,"water"
潦,liao2,"used in 潦草[liao2 cao3] and 潦倒[liao2 dao3]",pictophonetic,"water"
潭,tan2,"surname Tan",pictophonetic,"water"
潭,tan2,"deep pool; pond; pit (dialect); depression",pictophonetic,"water"
潮,chao2,"tide; damp; moist; humid; fashionable; trendy; (coll.) inferior; substandard",pictophonetic,"water"
浔,xun2,"name of a river; steep bank",pictophonetic,"water"
溃,hui4,"used in 潰膿|溃脓[hui4 nong2]; Taiwan pr. [kui4]",pictophonetic,"water"
溃,kui4,"(bound form) (of floodwaters) to break through a dam or dike; (bound form) to break through (a military encirclement); (bound form) to be routed; to be overrun; to fall to pieces; (bound form) to fester; to ulcerate",pictophonetic,"water"
潲,shao4,"driving rain; to sprinkle",ideographic,"A little 稍 water 氵; 稍 also provides the pronunciation"
滗,bi4,"to pour off (the liquid); to decant; to strain off",pictophonetic,"water"
潸,shan1,"tearfully",ideographic,"Water 氵 falling from closed eyes 林"
潺,chan2,"flow; trickle (of water)",pictophonetic,"water"
潼,tong2,"high; name of a pass",pictophonetic,"water"
潽,pu1,"to boil over",pictophonetic,"water"
涠,wei2,"still water",pictophonetic,"water"
涩,se4,"astringent; tart; acerbity; unsmooth; rough (surface); hard to understand; obscure",ideographic,"Water 氵 that cuts like a knife 刃; 止 provides the pronunciation"
涩,se4,"old variant of 澀|涩[se4]",ideographic,"Water 氵 that cuts like a knife 刃; 止 provides the pronunciation"
澄,cheng2,"variant of 澄[cheng2]",pictophonetic,"water"
澄,cheng2,"surname Cheng",pictophonetic,"water"
澄,cheng2,"clear; limpid; to clarify; to purify",pictophonetic,"water"
澄,deng4,"(of liquid) to settle; to become clear",pictophonetic,"water"
浇,jiao1,"to pour liquid; to irrigate (using waterwheel); to water; to cast (molten metal); to mold",pictophonetic,"water"
涝,lao4,"flooded",pictophonetic,"water"
澈,che4,"clear (water); thorough",pictophonetic,"water"
澉,gan3,"place name; wash",pictophonetic,"water"
澌,si1,"drain dry; to exhaust",pictophonetic,"water"
澍,shu4,"moisture; timely rain",ideographic,"Rain 氵 that saves 尌 the farm; 尌 also provides the pronunciation"
澎,peng2,"used in 澎湃[peng2pai4]; Taiwan pr. [peng1]",pictophonetic,"water"
涧,jian4,"mountain stream",ideographic,"A stream 氵 flowing through a valley 间; 间 also provides the pronunciation"
渑,sheng2,"name of a river in Shandong",pictophonetic,"water"
澡,zao3,"bath",pictophonetic,"water"
浣,huan4,"variant of 浣[huan4]",pictophonetic,"water"
泽,ze2,"pool; pond; (of metals etc) luster; favor or beneficence; damp; moist",pictophonetic,"water"
澥,xie4,"(of porridge etc) to become watery; (dialect) to thin (porridge etc) by adding water etc",pictophonetic,"water"
澧,li3,"Lishui River in north Hunan, flowing into Lake Dongting 洞庭湖[Dong4ting2 Hu2]; surname Li",pictophonetic,"water"
浍,kuai4,"drain; stream",pictophonetic,"water"
淀,dian4,"to form sediment; to precipitate",pictophonetic,"water"
澳,ao4,"Macao (abbr. for 澳門|澳门[Ao4 men2]); Australia (abbr. for 澳大利亞|澳大利亚[Ao4 da4 li4 ya4])",pictophonetic,"water"
澳,ao4,"deep bay; cove; harbor",pictophonetic,"water"
澶,chan2,"still (as of water); still water",pictophonetic,"water"
澹,tan2,"surname Tan",pictophonetic,"water"
澹,dan4,"tranquil; placid; quiet",pictophonetic,"water"
激,ji1,"to arouse; to incite; to excite; to stimulate; sharp; fierce; violent",pictophonetic,"water"
浊,zhuo2,"turbid; muddy; impure",ideographic,"A pond 氵 growing scum 虫"
濂,lian2,"name of a river in Hunan",pictophonetic,"water"
浓,nong2,"concentrated; dense; strong (smell etc)",pictophonetic,"water"
濉,sui1,"name of a river",pictophonetic,"water"
濊,hui4,"vast; expansive (as of water)",pictophonetic,"water"
湿,shi1,"moist; wet",pictophonetic,"water"
泞,ning4,"muddy",ideographic,"Still 宁 water 氵; 宁 also provides the pronunciation"
蒙,meng2,"drizzle; mist",pictophonetic,"plant"
濞,bi4,"used in place names; see 漾濞[Yang4 bi4]",pictophonetic,"water"
济,ji3,"used in place names associated with the Ji River 濟水|济水[Ji3 Shui3]; surname Ji",pictophonetic,"water"
济,ji3,"used in 濟濟|济济[ji3 ji3]",pictophonetic,"water"
济,ji4,"to cross a river; to aid or relieve; to be of help",pictophonetic,"water"
濠,hao2,"trench",pictophonetic,"water"
濡,ru2,"dilatory; to moisten",pictophonetic,"water"
涛,tao1,"big wave; Taiwan pr. [tao2]",pictophonetic,"water"
滥,lan4,"overflowing; excessive; indiscriminate",pictophonetic,"water"
浚,jun4,"variant of 浚[jun4]",pictophonetic,"water"
濮,pu2,"name of a river; surname Pu",pictophonetic,"water"
濯,zhao4,"variant of 櫂|棹[zhao4]",pictophonetic,"water"
濯,zhuo2,"to wash; to cleanse of evil",pictophonetic,"water"
潍,wei2,"name of a river",pictophonetic,"water"
滨,bin1,"(bound form) water's edge; bank; shore; (bound form) to border on (a lake, river etc)",pictophonetic,"water"
阔,kuo4,"variant of 闊|阔[kuo4]",pictophonetic,"gate"
溅,jian4,"to splash",pictophonetic,"water"
泺,luo4,"name of a river",pictophonetic,"water"
滤,lu:4,"to strain; to filter",pictophonetic,"water"
滢,ying2,"clear; limpid (of water)",ideographic,"A sparkling 莹 lake 氵; 莹 also provides the pronunciation"
渎,du2,"disrespectful; (literary) ditch",pictophonetic,"water"
泻,xie4,"to flow out swiftly; to flood; a torrent; diarrhea; laxative",pictophonetic,"water"
沈,shen3,"short name for 瀋陽|沈阳[Shen3 yang2]",pictophonetic,"water"
沈,shen3,"(literary) juice",pictophonetic,"water"
浏,liu2,"clear; deep (of water); swift",pictophonetic,"water"
瀑,bao4,"shower (rain)",ideographic,"Violent 暴 water 氵; 暴 also provides the pronunciation"
瀑,pu4,"waterfall",ideographic,"Violent 暴 water 氵; 暴 also provides the pronunciation"
濒,bin1,"to approach; to border on; near",pictophonetic,"water"
泸,lu2,"old name of a river in Jiangxi; place name",pictophonetic,"water"
瀚,han4,"ocean; vastness",pictophonetic,"water"
瀛,ying2,"ocean",pictophonetic,"water"
沥,li4,"to drip; to strain or filter; a trickle",pictophonetic,"water"
潇,xiao1,"(of water) deep and clear; (of wind and rain) howling and pounding; (of light rain) pattering",pictophonetic,"water"
潆,ying2,"eddy; small river",ideographic,"Water 氵 coiling 萦 on itself; 萦 also provides the pronunciation"
瀣,xie4,"mist; vapor",pictophonetic,"water"
潴,zhu1,"pool; pond",pictophonetic,"water"
泷,shuang1,"Shuang river in Hunan and Guangdong (modern Wu river 武水)",pictophonetic,"water"
泷,long2,"rapids; waterfall; torrential (rain)",pictophonetic,"water"
濑,lai4,"name of a river; rushing of water",pictophonetic,"water"
弥,mi2,"brimming or overflowing",pictophonetic,"bow"
潋,lian4,"full of water; trough",pictophonetic,"water"
瀵,fen4,"name of a river; valley vapor",pictophonetic,"water"
瀹,yue4,"to cleanse; to boil",pictophonetic,"water"
澜,lan2,"swelling water",pictophonetic,"water"
沣,feng1,"rainy; place name in Shaanxi; Feng River in Shaanxi 陝西|陕西, tributary of Wei River 渭水[Wei4 Shui3]",pictophonetic,"water"
滠,she4,"name of a river",pictophonetic,"water"
法,fa3,"old variant of 法[fa3]; law",ideographic,"The course 去 followed by a stream 氵"
灌,guan4,"to irrigate; to pour; to install (software); to record (music)",pictophonetic,"water"
洒,sa3,"to sprinkle; to spray; to spill; to shed",pictophonetic,"water"
漓,li2,"name of a river",pictophonetic,"water"
