id,form,meaning,type,etymology
9327,餐,"meal; to eat; classifier for meals",pictophonetic,"food"
9328,饽,"cake; biscuit",pictophonetic,"food"
9329,馁,"(bound form) hungry; starving; (bound form) dispirited; (literary) (of fish) putrid",pictophonetic,"food"
9330,饿,"hungry; to starve (sb)",ideographic,"To want 我 food 饣; 我 also provides the pronunciation"
9331,哺,"to eat; evening meal",pictophonetic,"mouth"
9332,馂,"remains of a sacrifice or a meal",ideographic,"Food 饣 left over 夋; 夋 also provides the pronunciation"
9333,余,"extra; surplus; remaining; remainder after division; (following numerical value) or more; in excess of (some number); residue (math.); after; I; me",,
9334,馀,"surname Yu",ideographic,"Extra 余 food 饣; 余 also provides the pronunciation"
9335,馀,"variant of 餘|余[yu2], remainder",ideographic,"Extra 余 food 饣; 余 also provides the pronunciation"
9336,肴,"variant of 肴[yao2]",pictophonetic,"meat"
9337,馄,"used in 餛飩|馄饨[hun2 tun5]",pictophonetic,"food"
9338,饯,"farewell dinner; preserves",pictophonetic,"food"
9339,馅,"stuffing; forcemeat; filling",ideographic,"Food 饣 stuffed in a hole 臽; 臽 also provides the pronunciation"
9340,喂,"variant of 餵|喂[wei4]",pictophonetic,"mouth"
9341,馆,"building; shop; term for certain service establishments; embassy or consulate; schoolroom (old); CL:家[jia1]",ideographic,"A public 官 building where food 饣 is served; 官 also provides the pronunciation"
9342,糊,"congee; (in 糊口[hu2 kou3]) to feed oneself",pictophonetic,"grain"
9343,餮,"(literary) greedy; gluttonous",pictophonetic,"eat"
9344,糇,"dry provisions",pictophonetic,"rice"
9345,饧,"maltose syrup; molasses; heavy (eyelids); drowsy-eyed; listless; (of dough, candy etc) to soften; to become soft and sticky",pictophonetic,"food"
9346,喂,"to feed",pictophonetic,"mouth"
9347,馇,"to cook and stir (animal feed); (coll.) to simmer (porridge etc)",pictophonetic,"food"
9348,馇,"used in 餎餷|饹馇[ge1 zha5]",pictophonetic,"food"
9349,糖,"old variant of 糖[tang2]",pictophonetic,"rice"
